[   34087ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   34448ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   34768ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   35363ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   36216ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   36391ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   36493ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   36494ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   36614ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   37852ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   39376ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   42535ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   42857ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   43866ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   44051ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   44377ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   44413ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   45121ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   45532ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   45579ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   45647ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   46119ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   46656ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   47327ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   51034ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   51563ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   52540ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   52982ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   53310ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   57235ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   57486ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   58509ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   58525ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   58559ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   58611ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_rims_admin_v1:0
[   58850ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   60073ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   61601ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_rims_admin_v1:0
[   61709ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   62551ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   65289ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   67035ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   68669ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   69274ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_count_tires_admin_v1:0
[   70549ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   73346ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   76033ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   78804ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ https://rcmmbwdebnmicrweoiyz.supabase.co/rest/v1/rpc/cms_list_tires_admin_v1:0
[   80184ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   83529ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
[   86888ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3000/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3000/@vite/client:1034
